Year,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6
1872,0.3016505681379448,0.05228154835214641,0.07847347928269884,0.4202145203043495,0.06825207855268854,0.07912780537017192
1873,0.17826587327935453,0.09081444252996562,0.1387375334671716,0.35227206092361796,0.07136665125174452,0.1685434385481458
1874,0.4069949612174441,0.05959427911371813,0.09048469778089664,0.3553367456824988,0.042962880552784924,0.0446264356526574
1875,0.35845805769799,0.09276064653967347,0.09884340992031883,0.3550302981269148,0.046801611525067045,0.04810597619003585
1876,0.3950996201217909,0.07618895882394137,0.10068618678169865,0.355799785509173,0.03773293956230211,0.034492509201093924
1877,0.3999514732315382,0.08269577227929989,0.07852715648562207,0.3362612814694532,0.058386938180251514,0.04417737835383508
1878,0.3777007877629083,0.09522720546235683,0.10699482271362798,0.3134134034399139,0.04103129223668902,0.06563248838450395
1879,0.42583971857498415,0.08168262480040135,0.1276564250317802,0.24621929947066307,0.06806776806124937,0.05053416406092184
1880,0.4060511104891556,0.10782029629506597,0.08716275740974694,0.2827024069001376,0.05530478365967574,0.060958645246218156
1881,0.40582296796260814,0.12126490737965766,0.0980331127659452,0.2502937232350354,0.06495836728886047,0.05962692136789315
1882,0.40897271765012444,0.10437964826581628,0.10070583450168571,0.26252865258911867,0.0673185469791451,0.056094600014109826
1883,0.3303650194782981,0.09786642918896236,0.09525850026580805,0.31919601132550574,0.11089279913153545,0.04642124060989033
1884,0.3034125582416401,0.10178717188428271,0.09781375406355218,0.3744167836676372,0.051880597867103084,0.07068913427578472
1885,0.3862950105935202,0.08921564048050805,0.08429912007615938,0.32976188601856044,0.05208964050227971,0.05833870232897224
1886,0.37744448048820595,0.08376099058169671,0.08462882321125055,0.3081959397407313,0.0652410140120752,0.08072875196604033
1887,0.35850978805237954,0.07750423390356583,0.08411340733348988,0.34572457241361604,0.06179318829064914,0.07235481000629955
1888,0.3316029647311698,0.0973426817585706,0.09917578489522007,0.3174860417066241,0.0709338368485481,0.08345869005986738
1889,0.3654174358817417,0.08938248000103624,0.0797142065661568,0.3511852284865984,0.03844474973170862,0.07585589933275828
1890,0.3618094246490624,0.08364111329946697,0.08592766053602158,0.334394126572826,0.05722854789750847,0.0769991270451146
1891,0.3859893634556081,0.07806872225389237,0.098153036605923,0.30694586322907985,0.06279442089676075,0.06804859355873594
1892,0.3785803508720571,0.08913573289926707,0.10105063084611102,0.29211724558190855,0.06781510279727455,0.07130093700338166
1893,0.3784958516332243,0.09844242435107116,0.09614072462353773,0.29901500822684324,0.06528932162037998,0.06261666954494358
1894,0.37439743241256696,0.07242865912472216,0.08114186139313467,0.3707273700876497,0.04331675451087135,0.057987922471055144
1895,0.3910477592347991,0.10108362985242345,0.0956684856779314,0.30865961128197944,0.05222531052958589,0.05131520342328072
1896,0.3982832291022877,0.07278468040482042,0.09688605399892022,0.3197005852414423,0.04947053057002622,0.06287492068250318
1897,0.4217275032076199,0.06572723777488541,0.09725459119019597,0.31981033510206586,0.050300612632595915,0.0451797200926369
1898,0.40356095832518435,0.07292435218100557,0.09002131341545391,0.32784231107932743,0.05181327746863687,0.05383778753039183
1899,0.42187335994788094,0.07130385705652302,0.0821016856686533,0.3273838698970139,0.054389575540425325,0.0429476518895035
1900,0.46041341022476134,0.05724702320409973,0.07441847138337296,0.33195296562678545,0.047873173910682736,0.028094955650297782
1901,0.42463866863391825,0.05940940863673676,0.08931303246392804,0.3308218208847489,0.05575585486708404,0.04006121451358405
1902,0.44426283725506144,0.055849743341242195,0.08225205997636863,0.3312657934805447,0.05797202122822862,0.028397544718554442
1903,0.4305165015284087,0.061315059005258896,0.0780043861271988,0.3316915787871715,0.05392465994671448,0.044547814605247676
1904,0.4272615959707971,0.055592824824673454,0.08389485300721967,0.3361810164467492,0.06558235633643414,0.03148735341412644
1905,0.4080267285556436,0.0622510123404172,0.09380093665753533,0.31352307302759125,0.05705828095527531,0.06533996846353733
1906,0.3474832847189547,0.10754619057735999,0.1110786798985227,0.26798316658953614,0.0755051476843573,0.09040353053126923
1907,0.3898712559740745,0.0893343087649749,0.11403855599549553,0.2657240747514467,0.0568360573903367,0.08419574712367163
1908,0.47135830166596693,0.07623115659993628,0.07927411901745451,0.2646641646506531,0.06107191288331679,0.04740034518267241
1909,0.45966390019422493,0.06901294884419983,0.08351927063491674,0.27610017777323315,0.054346023339332764,0.05735767921409262
1910,0.48623390399542316,0.07491725298498558,0.10009843220996553,0.22382075692725795,0.06562328218686508,0.049306371695502726
1911,0.4373877703456408,0.09615105464503408,0.12246518066976769,0.2249053369164815,0.060928753132964406,0.0581619042901115
1912,0.34790667449215146,0.11851638823056604,0.14795792572574054,0.18799990328330873,0.097296044371049,0.10032306389718425
1913,0.2601676844378918,0.15622013351035546,0.14741421264078658,0.1306261096634942,0.11654762200269211,0.18902423774477986
1914,0.2854868693921283,0.151288733336582,0.1216794535602115,0.14232735816100997,0.1301938815743894,0.16902370397567884
1915,0.3013584313628791,0.1498694765923739,0.13109922197774293,0.14850879297376382,0.12159696658059924,0.14756711051264104
1916,0.3100028173135245,0.13012108379661066,0.11587672536992837,0.19372792428924657,0.10731254351408318,0.1429589057166067
1917,0.3466162210808919,0.12537709639918562,0.1180266899012849,0.20365113413982136,0.08210661489696197,0.12422224358185424
1918,0.3204335581159666,0.1380486023208199,0.12599736519569343,0.18485807756892803,0.09032540995646866,0.14033698684212342
1919,0.3409969653421627,0.15767560410518927,0.13228563641028052,0.15129499459473184,0.1044262145678009,0.1133205849798348
1920,0.27949072243357903,0.12927022107005684,0.13099522295590468,0.16184932356233367,0.13539757972985084,0.16299693024827494
1921,0.2897430870942736,0.1441214330685768,0.12744053356137136,0.15380000164899338,0.13361189383679575,0.15128305078998913
1922,0.26842757652179483,0.15440154009915766,0.1284457986188708,0.15009592290120033,0.11902380206313457,0.17960535979584183
1923,0.2394223139139359,0.19140397917778668,0.14118870786175852,0.12019061996199733,0.13769256056593476,0.17010181851858683
1924,0.25411357078785435,0.17396355148219356,0.14743012823716586,0.14023891595089666,0.12222940680823917,0.16202442673365042
1925,0.2749191307131223,0.16292536677326122,0.14388028141525153,0.15464064312796116,0.11735855919078314,0.1462760187796206
1926,0.259728079513795,0.16476829877418023,0.15210532037752894,0.1403148913467538,0.11284371748017484,0.17023969250756718
1927,0.23286670150134925,0.18144844960753737,0.15910466859060216,0.1230507690837085,0.13202565024785096,0.17150376096895173
1928,0.19398840558361374,0.19498770909870117,0.14511040769305122,0.11808703039344724,0.14832984799685747,0.19949659923432916
1929,0.17994184371016106,0.19255579881014673,0.12301944064372297,0.12527325722538682,0.16713585623512234,0.21207380337546008
1930,0.17625352706736794,0.20283014650549264,0.14929033323975097,0.11760178366038657,0.14612898459589,0.2078952249311119
1931,0.17305154523322103,0.20943631700244023,0.14530529970924952,0.1284651316452907,0.1204670168039668,0.22327468960583172
1932,0.1485895728973201,0.17815179410850965,0.14471060548347256,0.11180236426653586,0.18927858071090348,0.22746708253325834
1933,0.16677624600419155,0.19934442916924353,0.15763808044553862,0.12278146388534257,0.15356406862401073,0.199895711871673
1934,0.1455188838924624,0.2054984771669077,0.16563336716048258,0.12977877632606635,0.14492076037313306,0.20864973508094792
1935,0.16298479264818808,0.20801102792326662,0.14848377313013753,0.11901181533188453,0.14924152022602435,0.2122670707404989
1936,0.2170063761412409,0.1876850968845742,0.15599565032884877,0.15645155512816988,0.11001632753358825,0.172844993983578
1937,0.18685328893099418,0.1839152991364896,0.18093618470759043,0.1460163449734369,0.12881397009819143,0.17346491215329748
1938,0.1494186305464812,0.18175196617142503,0.16609601193435686,0.1732773381032581,0.13061895414527852,0.1988370990992003
1939,0.16931081134370687,0.19427716260642458,0.1604687103800259,0.14116794200239985,0.12482773982859474,0.20994763383884807
1940,0.17847083889089888,0.18979674659243898,0.15145643270079467,0.15741915963777606,0.1336267995806155,0.18923002259747596
1941,0.19725778115561898,0.1565783230342809,0.1719967137384308,0.15880971958707682,0.10866839811643045,0.20668906436816206
1942,0.18344604506357157,0.21980333783226302,0.1419112220614658,0.1475495436114571,0.12092105483441305,0.18636879659682942
1943,0.16726385059700463,0.21919287799652779,0.12567891632968148,0.1605909167366998,0.14511988717773178,0.18215355116235452
1944,0.1672779641933171,0.16992468399317523,0.12349533249541018,0.22528070736449454,0.15814418710587153,0.15587712484773142
1945,0.16559147542335997,0.1972094628500971,0.1424202959467081,0.15259630986522896,0.1686683096904071,0.17351414622419875
1946,0.13885236388694658,0.23766018540888165,0.1572797389856035,0.14150084675400282,0.14322983476676443,0.18147703019780104
1947,0.16010172260062658,0.2065227756184276,0.14406165676057014,0.1795366581986245,0.13194807703230033,0.17782910978945085
1948,0.18744324176194246,0.198031423791516,0.14986974306682924,0.15594221905659791,0.14319481715805296,0.16551855516506145
1949,0.1775155281086523,0.17552626753744263,0.1417126988093407,0.18849596318673054,0.13267498374146067,0.18407455861637317
